"harmonised_name","ihs2_name","ihs3_name","ihs4_name","ihs5_name","label","module","topic","needs_review","n_rounds"
"ag_b0a","","ag_b0a","","","Did you or anyone in your HH plant any crops during the 2008/2009 rainy season?","f31","agriculture_crops",FALSE,4
"ag_b0c","","ag_b0c","","","Crop Code","f31","agriculture_crops",FALSE,4
"ag_b0c_os","","ag_b0c_os","","","Crop Code (Other Specify)","f31","agriculture_crops",FALSE,4
"ag_b10","","ag_b10","","","Total cost of transportation associated with all[CROP]sales during [RS]","f31","agriculture_crops",FALSE,4
"ag_b100","","","ag_b100","","GARDENS you or anyone in your HH owned/cultivated during the [RS]","f34","agriculture_land",FALSE,4
"ag_b101b","","","ag_b101b","","During the [RS], did you OR any member of your HH own OR cultivate any land ?","f33","agriculture_crops",FALSE,4
"ag_b102","","","ag_b102","","GARDEN (MUNDA) NAME","f34","agriculture_land",FALSE,4
"ag_b103_2","","","ag_b103_2","","RECORD THE NUMBER OF PLOTS CONT AINED IN THIS GARDEN (MUNDA).","f34","agriculture_land",FALSE,4
"ag_b103_2a","","","ag_b103_2a","","Is this GARDEN the same piece of land on which the dwelling is located","f34","agriculture_land",FALSE,4
"ag_b104a","","","ag_b104a","","What is the area of this [GARDEN]?","f34","agriculture_land",FALSE,4
"ag_b104b","","","ag_b104b","","UNIT","f34","agriculture_land",FALSE,4
"ag_b104b_oth","","","ag_b104b_oth","","Specify the unit for the area of this %rostertitle% [GARDEN].","f34","agriculture_land",FALSE,4
"ag_b105e","","","ag_b105e","","IF YOU DID NOT RECORD THE GPS COORDINATES, PLEASE SPECIFY REASON.","f34","agriculture_land",FALSE,4
"ag_b105e_oth","","","ag_b105e_oth","","PLEASE SPECIFY REASON YOU DID NOT RECORD THE GPS COORDINATES","f34","agriculture_land",FALSE,4
"ag_b106","","","ag_b106","","RECORD NUMBER OF SATELLITES GPS TRACKED TO CAPTURE COORDINATES","f34","agriculture_land",FALSE,4
"ag_b106a","","","ag_b106a","","ENUMERATOR: RECORD GPS ACCURACY","f34","agriculture_land",FALSE,4
"ag_b11a","","ag_b11a","","","Amt of harvested[CROP]given out as gifts/reimbursements for land,labor?(QUANT)","f31","agriculture_crops",FALSE,4
"ag_b11b_os","","ag_b11b_os","","","Amt of harvested[CROP]given out as gifts/reimbursements...?(UNIT)(O/S)","f31","agriculture_crops",FALSE,4
"ag_b11c","","ag_b11c","","","Amt of harvested[CROP]...given out as gifts/reimbursements for land,labor?(S/U)","f31","agriculture_crops",FALSE,4
"ag_b12a","","ag_b12a","","","...given out as reimbursements for inputs borrowed or acquired on credit?(QUANT)","f31","agriculture_crops",FALSE,4
"ag_b12b","","ag_b12b","","","...given out as reimbursements for inputs borrowed or acquired on credit?(UNIT)","f31","agriculture_crops",FALSE,4
"ag_b12b_os","","ag_b12b_os","","","...given out as reimbursements for inputs borrowed or acquired on credit?(UNIT)(","f31","agriculture_crops",FALSE,4
"ag_b12c","","ag_b12c","","","...given out as reimbursements for inputs borrowed or acquired on credit?(S/U)","f31","agriculture_crops",FALSE,4
"ag_b13a","","ag_b13a","","","...used for animal feed?(QUANT)","f31","agriculture_crops",FALSE,4
"ag_b13b","","ag_b13b","","","...used for animal feed?(UNIT)","f31","agriculture_crops",FALSE,4
"ag_b13b_os","","ag_b13b_os","","","...used for animal feed?(UNIT)(O/S)","f31","agriculture_crops",FALSE,4
"ag_b13c","","ag_b13c","","","...used for animal feed?(S/U)","f31","agriculture_crops",FALSE,4
"ag_b14b_os","","ag_b14b_os","","","...used as input for[CROP]by-products that HH sold for...?(UNIT)(O/S)","f31","agriculture_crops",FALSE,4
"ag_b14c","","ag_b14c","","","...used as input for[CROP]by-products that HH sold for cash/in-kind G/S?(S/U)","f31","agriculture_crops",FALSE,4
"ag_b15a","","ag_b15a","","","...saved for seed?(QUANT)","f31","agriculture_crops",FALSE,4
"ag_b15b","","ag_b15b","","","...saved for seed?(UNIT)","f31","agriculture_crops",FALSE,4
